#separator:tab
#html:false
如何从Git仓库克隆项目到本地的命令？	答：使用命令git clone [仓库URL]
B  (你的本地提交)      / A --- C  (远程仓库的最新状态 origin/main) 在相同场景下，如果不使用 --rebase，直接执行 git pull 会怎样？	Git 会执行 fetch + merge，结果如下：        B --.      /        \ A --- C --- M  (你的本地 main) 其中 M 是新生成的合并提交，用于把本地提交 B 与远程提交 C 合并，不包含任何功能性修改。
git pull --rebase 和 git pull 在提交历史上的区别是什么？	git pull --rebase：保持线性历史，提交记录是一条干净直线，清晰易读。git pull（merge）：会产生分叉和合并节点，频繁推送时历史会变得复杂，充满合并提交 M，难以追溯。
想快速比较远程仓与本地仓内容是否一致，最简单直观的命令是什么？	git fetch origin && git status
git fetch origin 会修改本地代码吗？	不会，它只更新本地对远程分支的引用，不影响工作区内容。
在使用 git status 查看分支状态时，可能出现哪三种情况？它们分别代表什么？	ahead：本地分支比远程多出若干提交。behind：远程分支有新的提交，本地尚未拉取。up to date：本地与远程分支完全一致。
git status 除了显示工作区和暂存区的状态外，还能显示什么？	还能显示分支间的状态差异，包括三种情况：ahead、behind、up to date。
连用 git fetch origin && git status 时，这两个命令分别有什么作用？	git fetch origin：更新本地对远程分支的引用，不修改本地代码。git status：显示当前分支与远程分支的状态差异。
查看当前本地仓库对应远程仓库链接的命令是什么？	git remote -v
修改远程仓库链接的命令是什么？	git remote set-url origin <new-url>
HPC 是什么意思？	HPC 指 High Performance Computing（高性能计算）。
GPU最早用来做什么？现在又用于什么？	最初用于图像渲染，如今因其高度并行结构，被广泛应用于科学计算和机器学习。
AMD 的 GPU 平台生态叫什么？	ROCm
在 Linux 中，复制单个文件和整个文件夹分别用什么命令？	复制文件用 cp，复制目录用 cp -r。
ls -1 表示什么？	按一行一个文件的方式列出当前目录内容。
cp 命令中两个路径分别表示什么？	第一个是源文件路径，第二个是目标目录路径。
用哪个 Git 指令可确定本地仓与远程仓是否一致？	git fetch origin && git status git fetch origin 更新本地的远程分支引用；git status 显示当前分支与远程分支的差异。
在 VS Code 中全局搜索单词的位置如何做呢？	左上角顶部有个放大镜的图标
学术会议中的“主 track”是什么意思？	指会议的核心论文投稿与评审通道，也是学术成果的主体部分。  “主 track” = 会议的主会（main conference）。
投稿被主 track 接收通常意味着什么？	经历完整的双盲评审（3–5 位评审人）； 在学术质量、创新性和实验充分性上达标； 论文将被正式收录至出版社的会议论文集。
现代电脑几乎都是多少位？	64
下载 Git 后如何安装并测试是否成功？	使用默认选项一路 “Next” 安装，完成后在终端输入 git --version 检查是否安装成功。
git remote -v 中的 -v 全称是什么？	全称是 --verbose，表示显示详细信息。
git config --global 配置的 user.name 和 user.email 有什么作用？	用于标识提交代码时的身份。
想在 Git 提交时忽略项目目录下的 repo_cuda2hip_code 文件夹，该怎么做？	在与 .git 同级的位置新建 .gitignore 文件，写入： repo_cuda2hip_code/
如果 output/ 目录下的文件已被 Git 追踪，现在把 output/ 加入 .gitignore，Git 还会继续追踪它们吗？为什么？需要怎么做？	会继续追踪，因为 .gitignore 只能忽略未被追踪的文件。要停止追踪，需要将这些文件从 Git 索引中移除。
一旦使用 git add xxx，xxx 就会被 Git 追踪吗？	是的。git add 会将文件加入索引，从而开始被 Git 追踪。
使用什么指令意味着文件会被 Git 追踪？	执行 git add xxx 即表示该文件开始被 Git 追踪。
git rm -r --cached output/ 是什么意思？	表示从 Git 索引中递归移除 output/ 目录及其文件，但不删除本地文件。
git rm -r --cached output/ 中的 cached 指的是缓存还是 Git 索引？	指的是 Git 索引（暂存区），不是普通意义的缓存。
Git 索引和 Git 暂存区是同一个东西吗？	是的，Git 索引就是 Git 的暂存区。
git rm -r --cached xxx 中的 cached 本质上是什么？	本质上指 Git 的 暂存区
验证当前 Git 的用户名和邮箱的指令是什么？	git config user.name    git config user.email
配置 Git 用户信息需要设置哪两个内容？	用户名（name）和邮箱（email）。
"git config --global user.email ""xxx"" 中 --global 的作用是什么？去掉后又代表什么？"	--global 表示全局配置，对所有仓库生效；去掉后则只对当前仓库生效。
查看当前仓库的用户名和配置用户名的指令分别是什么？	"查看：git config user.name    配置：git config --global user.name ""xxx"""
为什么使用 Git 时需要配置用户名和邮箱？	用于记录每次提交的作者信息，便于追踪和管理代码历史。
在 rebase 中，git checkout --theirs 和 git checkout --ours 的含义分别是什么？	--theirs：保留当前正在应用的提交（你的本地提交）。   --ours：保留当前 rebase 基准上的代码（原分支的内容）。
git pull --rebase 冲突时，为什么 --ours 表示远程分支，而 --theirs 表示你的本地提交？  为什么这么反直觉？	"因为 rebase 的过程是先切到远程分支作为新的基础（因此是 ""ours""），再把你的本地提交逐个应用上去（因此成了 ""theirs""）。"
使用 git pull --rebase 拉取更新后，GitHub 上的版本会被改变吗？	不会。git pull --rebase 只拉取并在本地变基，只有执行 git push 才会更新 GitHub。
Git 进行什么git指令之后才算产生一个新的版本？	在 commit 时才会产生新的版本；add、push、pull 都不会创建版本。
已确定 GitHub 是最新正确版本，本地分支有问题，想以远程为主，应输入什么指令？	使用 git fetch origin 再执行 git reset --hard origin/你的分支名。
已确定 GitHub 是最新正确版本，本地分支有问题，想以远程为主，git fetch origin & git reset --hard origin/你的分支名？为什么使用这两个指令？	因为 fetch 会更新本地对远程分支的最新引用，确保 reset 基于的是 GitHub 最新版本。
如果想以远程分支为主、本地分支不要了,是否可以用 pull 吗？以及原因是什么？ 应该使用什么？	不能使用pull，因为pull 会把远程修改合并到本地，应该使用reset，因为 reset 会直接将本地重置为远程状态，避免合并本地的错误内容。
git rev-parse --short HEAD 中的 rev、parse、HEAD 各是什么意思？	rev 是 revision 的缩写，表示“版本”。 parse：表示“解析”引用字符串。   rev-parse：Git 的内部解析工具，用于解析版本号或引用。   HEAD：表示当前所指向的提交。
查看当前分支的提交哈希值可以用哪些指令	git rev-parse --short HEAD   git log -1 --oneline   git branch -v
git log -1 --oneline 中的 -1 和 --oneline 各有什么作用？	-1：只显示最近一条提交。   --oneline：以单行简洁格式显示提交记录。
使用两台设备操作同一个仓库时，是否理想状态是两边分支的哈希一致？  以及为什么？	是的。两端的分支哈希一致，表示代码版本完全同步，是理想状态。
两台设备上同一个分支的提交哈希值完全一样，那么意味着什么？	那么这两个仓库的代码内容就 100% 同步。
git fetch && git reset --hard origin/main 的执行了具体什么操作和使用场景是什么？	它先拉取远端最新代码，再将本地代码强制重置为远端 main 分支的状态， 常用于放弃本地修改、让本地代码完全同步远端版本。
"# 远程： A -- B -- C (origin/main) # 本地： A -- B -- D (你的提交) 使用 git pull 和 使用 git pull --rebase，提交历史有什么差异，画出来。"	"git pull # 结果： A -- B -- C ---- #                     \             \ #                        -- D --- M (合并提交)  git pull --rebase # 结果： A -- B -- C -- D' (你的提交被""移动""到C之后)"
"确定远程版本是""正确的""，完全放弃本地修改，使用什么git指令？"	git fetch origin git reset --hard origin/main
git rev-parse --short HEAD 如何用别名简化？	"可设置全局别名：git config --global alias.hash ""rev-parse --short HEAD""   之后直接执行：git hash"
git log -1 --oneline 里面的 log ，-1， --oneline分别是什么意思？	log = 日志 -1 = 最近1条 --oneline = 一行显示
git clone 里的 --depth 1 参数有什么作用？	只克隆最新一次提交，减少下载量和时间。
git clone 里的 --depth 1 参数什么时候使用？	在只需要项目最新代码、不需要完整提交历史时使用，如快速拉取、构建或部署。
git clone 里的 --depth 1 参数有什么好处？	
git clone 里的 --depth 1 参数有什么好处？	能大幅减少下载时间和磁盘占用。
使用 git clone 时，不加上 --depth 1 为什么慢、占用更大？	因为它 拉取完整历史，包括所有提交、分支、标签和文件的历史版本
批量下载十几个github仓库，最佳方式是什么？	把所有 git clone 指令写进一个 bash 脚本中，再通过 bash clone_repos.sh 一次执行全部下载。
bash clone_repos.sh(包含多个git clone指令) 执行后，仓库会下载到哪里？  为什么？	取决于你执行命令时的当前工作目录，不取决于脚本所在位置。   因为脚本里的 git clone 默认按运行时的工作目录创建仓库，除非脚本中指定了路径。
想确认当前所在目录的完整路径，输入什么指令？	输入 pwd。
已经在 .gitignore 中写了 draft/，但之前已被 git add 过，如何删除缓存？	使用命令删除缓存中的 draft/ 目录：   git rm -r --cached draft/
文件一旦被 git add 过， 就表示被 Git 怎么样？	被git管理、跟踪并加入索引  是的，git add 会将文件加入暂存区，开始被 Git 跟踪并写入索引。
Git 的“缓存”指的是什么区？	通常说的 Git 缓存就是指暂存区。
用什么指令来停止追踪已被 Git 追踪的文件？	使用 git rm --cached 来取消文件的追踪。
git rm -r --cached draft/ 中各部分是什么意思？	git rm：从 Git 中删除文件记录   -r：递归处理目录及其内容   --cached：只从索引中删除，不删除本地文件   draft/：指定要移除追踪的目录
git rm -r --cached draft/ 之后不应该先 add 再 commit 吗？为什么执行 git rm 后直接 commit？	git rm --cached 和 git add 一样，都是对暂存区的修改操作。执行 git rm --cached 后，变更已进入暂存区，因此无需再执行 add，直接 commit 即可。
CRLF/LF 指的是什么？分别是谁的风格？	CRLF：回车+换行，Windows 的换行风格   LF：仅换行，Unix/Linux 和 macOS 的换行风格
Carriage Return 和 Line Feed Carriage 不是马车，feed 不是喂食吗？	在打字机术语里：    Carriage（字车）：指打字机上移动的承纸机构，并非“马车”。   Feed（送进）：指机械将纸张向下送一行的动作，不是“喂食”。
Carriage Return 为什么叫“回车”，Line Feed 为什么叫“换行”？	Carriage Return：来源于打字机，将“字车”拉回到行首，所以叫回车。   Line Feed：让纸向下走一行，所以叫换行。
回车（CR）和换行（LF）的英文全称是什么？	CR：Carriage Return   LF：Line Feed
“CRLF：回车+换行” 应该怎么理解？回车不是换行吗？	回车（CR）和换行（LF）是两个不同的控制符：   CR：把光标移到行首   LF：让光标向下移动一行   Windows 使用 CR+LF 两个字符来表示换行，Unix 系统只用 LF。
Windows 和 Unix 系统分别是用什么表示换行	Windows 使用 CR+LF 两个字符来表示换行，Unix 系统只用 LF。
Git 仓库通常存储为 LF，这是为什么？	因为 LF 是跨平台协作的通用标准，能避免不同系统的换行差异造成冲突。
在老式电传打字机上，回车（CR）和换行（LF）的效果分别是什么？	CR：让打印头回到行首   LF：让纸上滚一行
为什么主流使用 LF 而不是 CRLF？	因为 LF 是多数派：Unix/Linux/macOS 主流使用，服务器多跑在 Linux，上游开源项目也普遍采用 LF。
